ID_INMUEBLE,ID _ESTADO,ESTADO,INSTITUCIÓN_A_CARGO_DEL_INMUEBLE,DENOMINACIÓN_INMUEBLE,TIPO_VIALIDAD,NOMBRE_VIALIDAD,NUMERO_EXTERIOR,NUMERO_INTERIOR,TIPO_ASENTAMIENTO,ID_LOCALIDAD,NOMBRE_LOCALIDAD,ID_MUNICIPIO,MUNICIPIO,CODIGO_POSTAL,NATURALEZA_INMUEBLE,TIPO_INMUEBLE,USO_INMUEBLE,OPERACION_ORIGEN,VALOR_CATASTRAL,TITULO_PROPIEDAD
26,13,Hidalgo,Oficialía Mayor,"Parcela 64, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,2332678.57,"Escritura Pública número 3707, Volumen 77, Folio 15,219 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
27,13,Hidalgo,Oficialía Mayor,"Parcela 65, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,12804445,"Escritura Pública número 3708, Volumen 77, Folio 15,228 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
28,13,Hidalgo,Oficialía Mayor,"Parcela 66, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,5024769.66,"Escritura Pública número 3709, Volumen 77, Folio 15,237 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
29,13,Hidalgo,Oficialía Mayor,"Parcela 67, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,7699978.47,"Escritura Pública número 3723, Volumen 77, Folio 15,372 de fecha 10 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
30,13,Hidalgo,Oficialía Mayor,"Parcela 69, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,3413639.27,"Escritura Pública número 3697, Volumen 76, Folio 15,153 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
31,13,Hidalgo,Oficialía Mayor,"Parcela 70, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,8061521.01,"Escritura Pública número 3658, Volumen 75, Folio 14,838 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
32,13,Hidalgo,Oficialía Mayor,"Parcela 96, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,8513889.1,"Escritura Pública número 3661, Volumen 75, Folio 14,862 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
33,13,Hidalgo,Oficialía Mayor,"Parcela 98, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,9180985.3,"Escritura Pública número 3724, Volumen 77, Folio 15,380 de fecha 10 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
34,13,Hidalgo,Oficialía Mayor,"Parcela 99, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,4646795.7,"Escritura Pública número 3779, Volumen 79, Folio 15,714 de fecha 1 de julio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
35,13,Hidalgo,Oficialía Mayor,"Parcela 105, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,12108265.31,"Escritura Pública número 3679, Volumen 75, Folio 15,001 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
36,13,Hidalgo,Oficialía Mayor,"Parcela 113, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,4579448.74,"Escritura Pública número 3672, Volumen 75, Folio 14,952 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
37,13,Hidalgo,Oficialía Mayor,"Parcela 114, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,8983362.22,"Escritura Pública número 3654, Volumen 75, Folio 14,809 de fecha 2 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
38,13,Hidalgo,Oficialía Mayor,"Parcela 115, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,18087597.19,"Escritura Pública número 3715, Volumen 75, Folio 15,289 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
39,13,Hidalgo,Oficialía Mayor,"Parcela 116, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,12226710.4,"Escritura Pública número 3674, Volumen 75, Folio 14,967 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
40,13,Hidalgo,Oficialía Mayor,"Parcela 117, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,18093186.98,"Escritura Pública número 3809, Volumen 80, Folio 15,873 de fecha 21 de julio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
41,13,Hidalgo,Oficialía Mayor,"Parcela 118, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,2246520.81,"Escritura Pública número 3663, Volumen 75, Folio 14,878 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
42,13,Hidalgo,Oficialía Mayor,"Parcela 119, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,1717972.99,"Escritura Pública número 3696, Volumen 76, Folio 15,145 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
43,13,Hidalgo,Oficialía Mayor,"Parcela 120, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,1701848.64,"Escritura Pública número 3677, Volumen 75, Folio 14,991 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
44,13,Hidalgo,Oficialía Mayor,"Parcela 121, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,2125927.23,"Escritura Pública número 3687, Volumen 76, Folio 15,069 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
45,13,Hidalgo,Oficialía Mayor,"Parcela 122, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,11741802.63,"Escritura Pública número 3689, Volumen 76, Folio 15,085 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
46,13,Hidalgo,Oficialía Mayor,"Parcela 123, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,9214688.93,"Escritura Pública número 3690, Volumen 76, Folio 15,093 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
47,13,Hidalgo,Oficialía Mayor,"Parcela 200, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,205820.24,"Escritura Pública número 3749, Volumen 78, Folio 15,515 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
48,13,Hidalgo,Oficialía Mayor,"Parcela 201, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,335503.67,"Escritura Pública número 3751, Volumen 78, Folio 15,531 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
49,13,Hidalgo,Oficialía Mayor,"Parcela 202, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,376519.26,"Escritura Pública número 3762, Volumen 79, Folio 15,609 de fecha 26 de junio de 2017,protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
50,13,Hidalgo,Oficialía Mayor,"Parcela 203, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,763817.63,"Escritura Pública número 3764, Volumen 79, Folio 15, 625 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
51,13,Hidalgo,Oficialía Mayor,"Parcela 204, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,392335.03,"Escritura Pública número 3763, Volumen 79, Folio 15,617 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
52,13,Hidalgo,Oficialía Mayor,"Parcela 205, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,335715.25,"Escritura Pública número 3750, Volumen 78, Folio 15,523 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
53,13,Hidalgo,Oficialía Mayor,Parcela 61 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,24677327.4,Escritura Pública número 3675 de fecha 8 de junio de 2017.
54,13,Hidalgo,Oficialía Mayor,Parcela 68 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,9689453.64,Escritura Pública número 3668 de fecha 7 de junio de 2017.
55,13,Hidalgo,Oficialía Mayor,Parcela 69 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,8911710.36,"Escritura Pública número 3676 de fecha 8 de junio de 2017, inscrita bajo el número 997, Tomo I, Libro I, Sección I de fecha 26 de junio de 2017."
56,13,Hidalgo,Oficialía Mayor,"Parcela 71, Ejido Acopinalco",Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,6657766.85,"Escritura Pública número 3795 de fecha 13 de julio de 2017, inscrita bajo el número 1163, Tomo I, Libro I, Sección I de fecha 14 de julio de 2017"
57,13,Hidalgo,Oficialía Mayor,Parcela 72 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,21006936.91,Escritura Pública número 3680 de fecha 8 de junio de 2017.
58,13,Hidalgo,Oficialía Mayor,Parcela 80 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,357278.62,Escritura Pública número 3722 de fecha 8 de junio de 2017.
59,13,Hidalgo,Oficialía Mayor,Parcela 81 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,6857074.48,"Escritura Pública número 3710, Volumen, 77, Folio número 15,246 de fecha 9 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
60,13,Hidalgo,Oficialía Mayor,Parcela 84 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,9008791.22,"Escritura Pública número 3720n Volumen 77, Folio 15,337 de fecha 9 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
61,13,Hidalgo,Oficialía Mayor,Pacela 85 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,27358651.18,"Escritura Pública número 3728, Volumen 78, Folio 15,409 de fecha 10 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
62,13,Hidalgo,Oficialía Mayor,Parcel 86 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,10162525.66,"Escritura Pública número 3727, Volumen 78, Folio 15,401 de fecha 10 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
63,13,Hidalgo,Oficialía Mayor,Parcela 96 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,1148161.52,"Escritura Pública número 3730, Volumen 78, Folio 15,426 de fecha 10 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
64,13,Hidalgo,Oficialía Mayor,Parcela 100 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,11669546.31,"Escritura Pública número 3717, Volumen 77, Folio 15313 de fecha 9 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
65,13,Hidalgo,Oficialía Mayor,Parcela 105 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,6252518.61,"Escritura Pública número 3652, Volumen 3652, Folio 14790 de fecha 2 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
66,13,Hidalgo,Oficialía Mayor,Parcela 112 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,2674117.09,"Escritura Pública número 3691, Volumen 76, folio 15,101 de fecha 8 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
67,13,Hidalgo,Oficialía Mayor,Parcela 113 del Ejido Acopinalco,Carretera,Ejido Acopinalco,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,1078979.6,"Escritura Pública número 3686, Volumen 76, Folio 15061 de fecha 8 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
